bin,enhancer_chrom,enhancer_distance_to_promoter,enhancer_end,enhancer_name,enhancer_start,label,promoter_chrom,promoter_end,promoter_name,promoter_start,window_end,window_start,window_chrom,window_name,interactions_in_window,active_promoters_in_window
"(495816.4, 1672258]",chr1,509425.0,59252464,HUVEC|chr1:59252250-59252464,59252250,1,chr1,59763248,HUVEC|chr1:59761891-59763248,59761891,59761890.0,59252465.0,chr1,HUVEC|chr1:59252465-59761890,1.0,0.0
"(305587.4, 495816.4]",chr1,480662.0,64729520,HUVEC|chr1:64729253-64729520,64729253,1,chr1,65210859,HUVEC|chr1:65210184-65210859,65210184,65210183.0,64729521.0,chr1,HUVEC|chr1:64729521-65210183,1.0,1.0
"(305587.4, 495816.4]",chr1,418222.0,85755200,HUVEC|chr1:85755152-85755200,85755152,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85755201.0,chr1,HUVEC|chr1:85755201-86173423,14.0,1.0
"(305587.4, 495816.4]",chr1,417822.0,85755600,HUVEC|chr1:85755200-85755600,85755200,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85755601.0,chr1,HUVEC|chr1:85755601-86173423,13.0,1.0
"(305587.4, 495816.4]",chr1,417746.0,85755676,HUVEC|chr1:85755600-85755676,85755600,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85755677.0,chr1,HUVEC|chr1:85755677-86173423,12.0,1.0
"(305587.4, 495816.4]",chr1,412422.0,85761000,HUVEC|chr1:85760921-85761000,85760921,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85761001.0,chr1,HUVEC|chr1:85761001-86173423,11.0,1.0
"(305587.4, 495816.4]",chr1,411845.0,85761577,HUVEC|chr1:85761000-85761577,85761000,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85761578.0,chr1,HUVEC|chr1:85761578-86173423,10.0,1.0
"(305587.4, 495816.4]",chr1,408290.0,85765132,HUVEC|chr1:85762443-85765132,85762443,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85765133.0,chr1,HUVEC|chr1:85765133-86173423,9.0,1.0
"(305587.4, 495816.4]",chr1,399553.0,85773869,HUVEC|chr1:85773646-85773869,85773646,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85773870.0,chr1,HUVEC|chr1:85773870-86173423,8.0,1.0
"(305587.4, 495816.4]",chr1,398462.0,85774960,HUVEC|chr1:85773996-85774960,85773996,1,chr1,86174473,HUVEC|chr1:86173424-86174473,86173424,86173423.0,85774961.0,chr1,HUVEC|chr1:85774961-86173423,6.0,1.0
"(218794.8, 305587.4]",chr1,267941.0,85773869,HUVEC|chr1:85773646-85773869,85773646,1,chr1,86050800,HUVEC|chr1:86041812-86050800,86041812,86041811.0,85773870.0,chr1,HUVEC|chr1:85773870-86041811,6.0,0.0
"(218794.8, 305587.4]",chr1,266850.0,85774960,HUVEC|chr1:85773996-85774960,85773996,1,chr1,86050800,HUVEC|chr1:86041812-86050800,86041812,86041811.0,85774961.0,chr1,HUVEC|chr1:85774961-86041811,5.0,0.0
"(218794.8, 305587.4]",chr1,263602.0,85778208,HUVEC|chr1:85777778-85778208,85777778,1,chr1,86050800,HUVEC|chr1:86041812-86050800,86041812,86041811.0,85778209.0,chr1,HUVEC|chr1:85778209-86041811,4.0,0.0
"(218794.8, 305587.4]",chr1,260328.0,85781482,HUVEC|chr1:85778864-85781482,85778864,1,chr1,86050800,HUVEC|chr1:86041812-86050800,86041812,86041811.0,85781483.0,chr1,HUVEC|chr1:85781483-86041811,3.0,0.0
"[33835, 131310.8]",chr1,114998.0,85926812,HUVEC|chr1:85926712-85926812,85926712,1,chr1,86050800,HUVEC|chr1:86041812-86050800,86041812,86041811.0,85926813.0,chr1,HUVEC|chr1:85926813-86041811,2.0,0.0
"[33835, 131310.8]",chr1,114286.0,85927524,HUVEC|chr1:85926904-85927524,85926904,1,chr1,86050800,HUVEC|chr1:86041812-86050800,86041812,86041811.0,85927525.0,chr1,HUVEC|chr1:85927525-86041811,1.0,0.0
"(218794.8, 305587.4]",chr1,266753.0,92497191,HUVEC|chr1:92496600-92497191,92496600,1,chr1,92765115,HUVEC|chr1:92763946-92765115,92763946,92763945.0,92497192.0,chr1,HUVEC|chr1:92497192-92763945,1.0,0.0
"(305587.4, 495816.4]",chr1,397998.0,93913200,HUVEC|chr1:93912800-93913200,93912800,1,chr1,94313843,HUVEC|chr1:94311200-94313843,94311200,94311199.0,93913201.0,chr1,HUVEC|chr1:93913201-94311199,4.0,1.0
"(305587.4, 495816.4]",chr1,391798.0,93919400,HUVEC|chr1:93919292-93919400,93919292,1,chr1,94313843,HUVEC|chr1:94311200-94313843,94311200,94311199.0,93919401.0,chr1,HUVEC|chr1:93919401-94311199,2.0,0.0
"(305587.4, 495816.4]",chr1,391239.0,93919959,HUVEC|chr1:93919400-93919959,93919400,1,chr1,94313843,HUVEC|chr1:94311200-94313843,94311200,94311199.0,93919960.0,chr1,HUVEC|chr1:93919960-94311199,1.0,0.0
"[33835, 131310.8]",chr1,97625.0,101603275,HUVEC|chr1:101601963-101603275,101601963,1,chr1,101704600,HUVEC|chr1:101700902-101704600,101700902,101700901.0,101603276.0,chr1,HUVEC|chr1:101603276-101700901,2.0,0.0
"[33835, 131310.8]",chr1,92522.0,101608378,HUVEC|chr1:101608000-101608378,101608000,1,chr1,101704600,HUVEC|chr1:101700902-101704600,101700902,101700901.0,101608379.0,chr1,HUVEC|chr1:101608379-101700901,1.0,0.0
"(305587.4, 495816.4]",chr1,451710.0,110075488,HUVEC|chr1:110075221-110075488,110075221,1,chr1,110528360,HUVEC|chr1:110527200-110528360,110527200,110527199.0,110075489.0,chr1,HUVEC|chr1:110075489-110527199,4.0,3.0
"(305587.4, 495816.4]",chr1,334768.0,110192430,HUVEC|chr1:110192046-110192430,110192046,1,chr1,110528360,HUVEC|chr1:110527200-110528360,110527200,110527199.0,110192431.0,chr1,HUVEC|chr1:110192431-110527199,3.0,2.0
"(305587.4, 495816.4]",chr1,327998.0,110199200,HUVEC|chr1:110199000-110199200,110199000,1,chr1,110528360,HUVEC|chr1:110527200-110528360,110527200,110527199.0,110199201.0,chr1,HUVEC|chr1:110199201-110527199,1.0,1.0
"(218794.8, 305587.4]",chr1,227044.0,112933600,HUVEC|chr1:112930542-112933600,112930542,1,chr1,113163411,HUVEC|chr1:113160646-113163411,113160646,113160645.0,112933601.0,chr1,HUVEC|chr1:112933601-113160645,3.0,1.0
"(131310.8, 218794.8]",chr1,217844.0,112942800,HUVEC|chr1:112942000-112942800,112942000,1,chr1,113163411,HUVEC|chr1:113160646-113163411,113160646,113160645.0,112942801.0,chr1,HUVEC|chr1:112942801-113160645,2.0,0.0
"(131310.8, 218794.8]",chr1,213244.0,112947400,HUVEC|chr1:112946800-112947400,112946800,1,chr1,113163411,HUVEC|chr1:113160646-113163411,113160646,113160645.0,112947401.0,chr1,HUVEC|chr1:112947401-113160645,1.0,0.0
"(305587.4, 495816.4]",chr1,313407.0,112933600,HUVEC|chr1:112930542-112933600,112930542,1,chr1,113250226,HUVEC|chr1:113247009-113250226,113247009,113247008.0,112933601.0,chr1,HUVEC|chr1:112933601-113247008,5.0,2.0
"(218794.8, 305587.4]",chr1,304629.0,153625619,HUVEC|chr1:153625357-153625619,153625357,1,chr1,153931402,HUVEC|chr1:153930250-153931402,153930250,153930249.0,153625620.0,chr1,HUVEC|chr1:153625620-153930249,3.0,5.0
"(305587.4, 495816.4]",chr1,313861.0,153625619,HUVEC|chr1:153625357-153625619,153625357,1,chr1,153940588,HUVEC|chr1:153939482-153940588,153939482,153939481.0,153625620.0,chr1,HUVEC|chr1:153625620-153939481,6.0,6.0
"(305587.4, 495816.4]",chr1,323769.0,153625619,HUVEC|chr1:153625357-153625619,153625357,1,chr1,153950642,HUVEC|chr1:153949390-153950642,153949390,153949389.0,153625620.0,chr1,HUVEC|chr1:153625620-153949389,9.0,7.0
"(131310.8, 218794.8]",chr1,173668.0,153756580,HUVEC|chr1:153756438-153756580,153756438,1,chr1,153931402,HUVEC|chr1:153930250-153931402,153930250,153930249.0,153756581.0,chr1,HUVEC|chr1:153756581-153930249,2.0,2.0
"(131310.8, 218794.8]",chr1,182900.0,153756580,HUVEC|chr1:153756438-153756580,153756438,1,chr1,153940588,HUVEC|chr1:153939482-153940588,153939482,153939481.0,153756581.0,chr1,HUVEC|chr1:153756581-153939481,4.0,3.0
"(131310.8, 218794.8]",chr1,192808.0,153756580,HUVEC|chr1:153756438-153756580,153756438,1,chr1,153950642,HUVEC|chr1:153949390-153950642,153949390,153949389.0,153756581.0,chr1,HUVEC|chr1:153756581-153949389,6.0,4.0
"(131310.8, 218794.8]",chr1,166780.0,153763468,HUVEC|chr1:153763400-153763468,153763400,1,chr1,153931402,HUVEC|chr1:153930250-153931402,153930250,153930249.0,153763469.0,chr1,HUVEC|chr1:153763469-153930249,1.0,2.0
"(131310.8, 218794.8]",chr1,176012.0,153763468,HUVEC|chr1:153763400-153763468,153763400,1,chr1,153940588,HUVEC|chr1:153939482-153940588,153939482,153939481.0,153763469.0,chr1,HUVEC|chr1:153763469-153939481,2.0,3.0
"(131310.8, 218794.8]",chr1,185920.0,153763468,HUVEC|chr1:153763400-153763468,153763400,1,chr1,153950642,HUVEC|chr1:153949390-153950642,153949390,153949389.0,153763469.0,chr1,HUVEC|chr1:153763469-153949389,3.0,4.0
"(495816.4, 1672258]",chr1,618476.0,159131522,HUVEC|chr1:159130995-159131522,159130995,1,chr1,159751480,HUVEC|chr1:159750000-159751480,159750000,159749999.0,159131523.0,chr1,HUVEC|chr1:159131523-159749999,2.0,0.0
"(495816.4, 1672258]",chr1,607798.0,159142200,HUVEC|chr1:159141466-159142200,159141466,1,chr1,159751480,HUVEC|chr1:159750000-159751480,159750000,159749999.0,159142201.0,chr1,HUVEC|chr1:159142201-159749999,1.0,0.0
"(218794.8, 305587.4]",chr1,261804.0,161457591,HUVEC|chr1:161457129-161457591,161457129,1,chr1,161720336,HUVEC|chr1:161719397-161720336,161719397,161719396.0,161457592.0,chr1,HUVEC|chr1:161457592-161719396,2.0,0.0
"(218794.8, 305587.4]",chr1,249596.0,161469799,HUVEC|chr1:161469412-161469799,161469412,1,chr1,161720336,HUVEC|chr1:161719397-161720336,161719397,161719396.0,161469800.0,chr1,HUVEC|chr1:161469800-161719396,1.0,0.0
"(218794.8, 305587.4]",chr1,249324.0,163041623,HUVEC|chr1:163041400-163041623,163041400,1,chr1,163292486,HUVEC|chr1:163290949-163292486,163290949,163290948.0,163041624.0,chr1,HUVEC|chr1:163041624-163290948,2.0,0.0
"(218794.8, 305587.4]",chr1,247810.0,163043137,HUVEC|chr1:163041724-163043137,163041724,1,chr1,163292486,HUVEC|chr1:163290949-163292486,163290949,163290948.0,163043138.0,chr1,HUVEC|chr1:163043138-163290948,1.0,0.0
"(305587.4, 495816.4]",chr1,362527.0,184762633,HUVEC|chr1:184760830-184762633,184760830,1,chr1,185127294,HUVEC|chr1:185125162-185127294,185125162,185125161.0,184762634.0,chr1,HUVEC|chr1:184762634-185125161,1.0,0.0
"(218794.8, 305587.4]",chr1,285460.0,186362897,HUVEC|chr1:186362650-186362897,186362650,1,chr1,186650814,HUVEC|chr1:186648359-186650814,186648359,186648358.0,186362898.0,chr1,HUVEC|chr1:186362898-186648358,2.0,0.0
"(218794.8, 305587.4]",chr1,273742.0,186374615,HUVEC|chr1:186373823-186374615,186373823,1,chr1,186650814,HUVEC|chr1:186648359-186650814,186648359,186648358.0,186374616.0,chr1,HUVEC|chr1:186374616-186648358,1.0,0.0
"[33835, 131310.8]",chr1,49753.0,205240716,HUVEC|chr1:205239768-205240716,205239768,1,chr1,205291109,HUVEC|chr1:205290471-205291109,205290471,205290470.0,205240717.0,chr1,HUVEC|chr1:205240717-205290470,1.0,0.0
"(131310.8, 218794.8]",chr1,210866.0,208204000,HUVEC|chr1:208202800-208204000,208202800,1,chr1,208418800,HUVEC|chr1:208414868-208418800,208414868,208414867.0,208204001.0,chr1,HUVEC|chr1:208204001-208414867,2.0,0.0
"(131310.8, 218794.8]",chr1,133266.0,208281600,HUVEC|chr1:208281226-208281600,208281226,1,chr1,208418800,HUVEC|chr1:208414868-208418800,208414868,208414867.0,208281601.0,chr1,HUVEC|chr1:208281601-208414867,1.0,0.0
"(305587.4, 495816.4]",chr1,348437.0,211500211,HUVEC|chr1:211500200-211500211,211500200,1,chr1,211849278,HUVEC|chr1:211848650-211849278,211848650,211848649.0,211500212.0,chr1,HUVEC|chr1:211500212-211848649,4.0,1.0
"(305587.4, 495816.4]",chr1,347448.0,211501200,HUVEC|chr1:211500778-211501200,211500778,1,chr1,211849278,HUVEC|chr1:211848650-211849278,211848650,211848649.0,211501201.0,chr1,HUVEC|chr1:211501201-211848649,3.0,1.0
"(131310.8, 218794.8]",chr1,160048.0,211688600,HUVEC|chr1:211688333-211688600,211688333,1,chr1,211849278,HUVEC|chr1:211848650-211849278,211848650,211848649.0,211688601.0,chr1,HUVEC|chr1:211688601-211848649,2.0,1.0
"(131310.8, 218794.8]",chr1,159175.0,211689473,HUVEC|chr1:211689400-211689473,211689400,1,chr1,211849278,HUVEC|chr1:211848650-211849278,211848650,211848649.0,211689474.0,chr1,HUVEC|chr1:211689474-211848649,1.0,1.0
"(305587.4, 495816.4]",chr1,335588.0,211872400,HUVEC|chr1:211872117-211872400,211872117,1,chr1,212209795,HUVEC|chr1:212207990-212209795,212207990,212207989.0,211872401.0,chr1,HUVEC|chr1:211872401-212207989,1.0,1.0
"(131310.8, 218794.8]",chr1,215893.0,212242123,HUVEC|chr1:212240344-212242123,212240344,1,chr1,212460000,HUVEC|chr1:212458018-212460000,212458018,212458017.0,212242124.0,chr1,HUVEC|chr1:212242124-212458017,1.0,0.0
"(495816.4, 1672258]",chr1,518406.0,213935400,HUVEC|chr1:213935339-213935400,213935339,1,chr1,214454878,HUVEC|chr1:214453808-214454878,214453808,214453807.0,213935401.0,chr1,HUVEC|chr1:213935401-214453807,2.0,0.0
"(495816.4, 1672258]",chr1,518334.0,213935472,HUVEC|chr1:213935400-213935472,213935400,1,chr1,214454878,HUVEC|chr1:214453808-214454878,214453808,214453807.0,213935473.0,chr1,HUVEC|chr1:213935473-214453807,1.0,0.0
"[33835, 131310.8]",chr1,106398.0,234634800,HUVEC|chr1:234634729-234634800,234634729,1,chr1,234745341,HUVEC|chr1:234741200-234745341,234741200,234741199.0,234634801.0,chr1,HUVEC|chr1:234634801-234741199,3.0,0.0
"[33835, 131310.8]",chr1,106377.0,234634821,HUVEC|chr1:234634800-234634821,234634800,1,chr1,234745341,HUVEC|chr1:234741200-234745341,234741200,234741199.0,234634822.0,chr1,HUVEC|chr1:234634822-234741199,2.0,0.0
"[33835, 131310.8]",chr1,105505.0,234635693,HUVEC|chr1:234634957-234635693,234634957,1,chr1,234745341,HUVEC|chr1:234741200-234745341,234741200,234741199.0,234635694.0,chr1,HUVEC|chr1:234635694-234741199,1.0,0.0
"(218794.8, 305587.4]",chr1,234329.0,241776679,HUVEC|chr1:241775621-241776679,241775621,1,chr1,242011956,HUVEC|chr1:242011010-242011956,242011010,242011009.0,241776680.0,chr1,HUVEC|chr1:241776680-242011009,1.0,0.0
"(495816.4, 1672258]",chr10,538057.0,3283252,HUVEC|chr10:3283000-3283252,3283000,1,chr10,3829000,HUVEC|chr10:3821311-3829000,3821311,3821310.0,3283253.0,chr10,HUVEC|chr10:3283253-3821310,2.0,0.0
"(495816.4, 1672258]",chr10,529772.0,3291537,HUVEC|chr10:3290759-3291537,3290759,1,chr10,3829000,HUVEC|chr10:3821311-3829000,3821311,3821310.0,3291538.0,chr10,HUVEC|chr10:3291538-3821310,1.0,0.0
"(495816.4, 1672258]",chr10,889777.0,3829664,HUVEC|chr10:3829000-3829664,3829000,1,chr10,4720600,HUVEC|chr10:4719443-4720600,4719443,4719442.0,3829665.0,chr10,HUVEC|chr10:3829665-4719442,2.0,0.0
"(495816.4, 1672258]",chr10,865283.0,3854158,HUVEC|chr10:3846371-3854158,3846371,1,chr10,4720600,HUVEC|chr10:4719443-4720600,4719443,4719442.0,3854159.0,chr10,HUVEC|chr10:3854159-4719442,1.0,0.0
"(131310.8, 218794.8]",chr10,217993.0,21568128,HUVEC|chr10:21567978-21568128,21567978,1,chr10,21786304,HUVEC|chr10:21786123-21786304,21786123,21786122.0,21568129.0,chr10,HUVEC|chr10:21568129-21786122,1.0,0.0
"(218794.8, 305587.4]",chr10,294057.0,49569318,HUVEC|chr10:49569225-49569318,49569225,1,chr10,49864584,HUVEC|chr10:49863377-49864584,49863377,49863376.0,49569319.0,chr10,HUVEC|chr10:49569319-49863376,4.0,0.0
"(218794.8, 305587.4]",chr10,288698.0,49574677,HUVEC|chr10:49571700-49574677,49571700,1,chr10,49864584,HUVEC|chr10:49863377-49864584,49863377,49863376.0,49574678.0,chr10,HUVEC|chr10:49574678-49863376,3.0,0.0
"[33835, 131310.8]",chr10,104091.0,49759284,HUVEC|chr10:49757816-49759284,49757816,1,chr10,49864584,HUVEC|chr10:49863377-49864584,49863377,49863376.0,49759285.0,chr10,HUVEC|chr10:49759285-49863376,2.0,0.0
"[33835, 131310.8]",chr10,103430.0,49759945,HUVEC|chr10:49759480-49759945,49759480,1,chr10,49864584,HUVEC|chr10:49863377-49864584,49863377,49863376.0,49759946.0,chr10,HUVEC|chr10:49759946-49863376,1.0,0.0
"[33835, 131310.8]",chr10,102126.0,95138223,HUVEC|chr10:95136275-95138223,95136275,1,chr10,95242533,HUVEC|chr10:95240351-95242533,95240351,95240350.0,95138224.0,chr10,HUVEC|chr10:95138224-95240350,2.0,0.0
"[33835, 131310.8]",chr10,100149.0,95140200,HUVEC|chr10:95138593-95140200,95138593,1,chr10,95242533,HUVEC|chr10:95240351-95242533,95240351,95240350.0,95140201.0,chr10,HUVEC|chr10:95140201-95240350,1.0,0.0
"(495816.4, 1672258]",chr11,548064.0,9777944,HUVEC|chr11:9776865-9777944,9776865,1,chr11,10330000,HUVEC|chr11:10326010-10330000,10326010,10326009.0,9777945.0,chr11,HUVEC|chr11:9777945-10326009,5.0,2.0
"(495816.4, 1672258]",chr11,544008.0,9782000,HUVEC|chr11:9781200-9782000,9781200,1,chr11,10330000,HUVEC|chr11:10326010-10330000,10326010,10326009.0,9782001.0,chr11,HUVEC|chr11:9782001-10326009,3.0,1.0
"(495816.4, 1672258]",chr11,543862.0,9782146,HUVEC|chr11:9782019-9782146,9782019,1,chr11,10330000,HUVEC|chr11:10326010-10330000,10326010,10326009.0,9782147.0,chr11,HUVEC|chr11:9782147-10326009,2.0,1.0
"(495816.4, 1672258]",chr11,538094.0,9787914,HUVEC|chr11:9786632-9787914,9786632,1,chr11,10330000,HUVEC|chr11:10326010-10330000,10326010,10326009.0,9787915.0,chr11,HUVEC|chr11:9787915-10326009,1.0,1.0
"(305587.4, 495816.4]",chr11,344012.0,10428042,HUVEC|chr11:10427862-10428042,10427862,1,chr11,10773450,HUVEC|chr11:10772056-10773450,10772056,10772055.0,10428043.0,chr11,HUVEC|chr11:10428043-10772055,3.0,1.0
"(305587.4, 495816.4]",chr11,342988.0,10429066,HUVEC|chr11:10428265-10429066,10428265,1,chr11,10773450,HUVEC|chr11:10772056-10773450,10772056,10772055.0,10429067.0,chr11,HUVEC|chr11:10429067-10772055,2.0,1.0
"(305587.4, 495816.4]",chr11,335366.0,10436688,HUVEC|chr11:10436121-10436688,10436121,1,chr11,10773450,HUVEC|chr11:10772056-10773450,10772056,10772055.0,10436689.0,chr11,HUVEC|chr11:10436689-10772055,1.0,1.0
"(218794.8, 305587.4]",chr11,287734.0,16810555,HUVEC|chr11:16808520-16810555,16808520,1,chr11,17100250,HUVEC|chr11:17098291-17100250,17098291,17098290.0,16810556.0,chr11,HUVEC|chr11:16810556-17098290,2.0,0.0
"(218794.8, 305587.4]",chr11,283632.0,16814657,HUVEC|chr11:16812455-16814657,16812455,1,chr11,17100250,HUVEC|chr11:17098291-17100250,17098291,17098290.0,16814658.0,chr11,HUVEC|chr11:16814658-17098290,1.0,0.0
"[33835, 131310.8]",chr11,120955.0,17252179,HUVEC|chr11:17251800-17252179,17251800,1,chr11,17373597,HUVEC|chr11:17373136-17373597,17373136,17373135.0,17252180.0,chr11,HUVEC|chr11:17252180-17373135,1.0,0.0
"(131310.8, 218794.8]",chr11,169617.0,19093200,HUVEC|chr11:19093062-19093200,19093062,1,chr11,19263244,HUVEC|chr11:19262819-19263244,19262819,19262818.0,19093201.0,chr11,HUVEC|chr11:19093201-19262818,2.0,1.0
"(131310.8, 218794.8]",chr11,159856.0,19102961,HUVEC|chr11:19098850-19102961,19098850,1,chr11,19263244,HUVEC|chr11:19262819-19263244,19262819,19262818.0,19102962.0,chr11,HUVEC|chr11:19102962-19262818,1.0,1.0
"[33835, 131310.8]",chr11,128760.0,60543795,HUVEC|chr11:60543065-60543795,60543065,1,chr11,60674477,HUVEC|chr11:60672557-60674477,60672557,60672556.0,60543796.0,chr11,HUVEC|chr11:60543796-60672556,3.0,1.0
"[33835, 131310.8]",chr11,128406.0,60544149,HUVEC|chr11:60543978-60544149,60543978,1,chr11,60674477,HUVEC|chr11:60672557-60674477,60672557,60672556.0,60544150.0,chr11,HUVEC|chr11:60544150-60672556,2.0,1.0
"[33835, 131310.8]",chr11,126900.0,60545655,HUVEC|chr11:60544333-60545655,60544333,1,chr11,60674477,HUVEC|chr11:60672557-60674477,60672557,60672556.0,60545656.0,chr11,HUVEC|chr11:60545656-60672556,1.0,1.0
