label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,119012.0,chr1,3420459,3421842,HUVEC|chr1:3420459-3421842,chr1,3540856,3541719,HUVEC|chr1:3540856-3541719
1,143105.0,chr1,45308294,45308792,HUVEC|chr1:45308294-45308792,chr1,45451899,45452598,HUVEC|chr1:45451899-45452598
1,142511.0,chr1,45309002,45309386,HUVEC|chr1:45309002-45309386,chr1,45451899,45452598,HUVEC|chr1:45451899-45452598
1,134521.0,chr1,45821528,45821675,HUVEC|chr1:45821528-45821675,chr1,45956198,45957179,HUVEC|chr1:45956198-45957179
1,129314.0,chr1,45826723,45826882,HUVEC|chr1:45826723-45826882,chr1,45956198,45957179,HUVEC|chr1:45956198-45957179
1,509837.0,chr1,59251400,59252052,HUVEC|chr1:59251400-59252052,chr1,59761891,59763248,HUVEC|chr1:59761891-59763248
1,509425.0,chr1,59252250,59252464,HUVEC|chr1:59252250-59252464,chr1,59761891,59763248,HUVEC|chr1:59761891-59763248
1,480662.0,chr1,64729253,64729520,HUVEC|chr1:64729253-64729520,chr1,65210184,65210859,HUVEC|chr1:65210184-65210859
1,418222.0,chr1,85755152,85755200,HUVEC|chr1:85755152-85755200,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,417822.0,chr1,85755200,85755600,HUVEC|chr1:85755200-85755600,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,417746.0,chr1,85755600,85755676,HUVEC|chr1:85755600-85755676,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,412422.0,chr1,85760921,85761000,HUVEC|chr1:85760921-85761000,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,411845.0,chr1,85761000,85761577,HUVEC|chr1:85761000-85761577,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,408290.0,chr1,85762443,85765132,HUVEC|chr1:85762443-85765132,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,399553.0,chr1,85773646,85773869,HUVEC|chr1:85773646-85773869,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,398462.0,chr1,85773996,85774960,HUVEC|chr1:85773996-85774960,chr1,86173424,86174473,HUVEC|chr1:86173424-86174473
1,267941.0,chr1,85773646,85773869,HUVEC|chr1:85773646-85773869,chr1,86041812,86050800,HUVEC|chr1:86041812-86050800
1,266850.0,chr1,85773996,85774960,HUVEC|chr1:85773996-85774960,chr1,86041812,86050800,HUVEC|chr1:86041812-86050800
1,263602.0,chr1,85777778,85778208,HUVEC|chr1:85777778-85778208,chr1,86041812,86050800,HUVEC|chr1:86041812-86050800
1,260328.0,chr1,85778864,85781482,HUVEC|chr1:85778864-85781482,chr1,86041812,86050800,HUVEC|chr1:86041812-86050800
1,114998.0,chr1,85926712,85926812,HUVEC|chr1:85926712-85926812,chr1,86041812,86050800,HUVEC|chr1:86041812-86050800
1,114286.0,chr1,85926904,85927524,HUVEC|chr1:85926904-85927524,chr1,86041812,86050800,HUVEC|chr1:86041812-86050800
1,266753.0,chr1,92496600,92497191,HUVEC|chr1:92496600-92497191,chr1,92763946,92765115,HUVEC|chr1:92763946-92765115
1,397998.0,chr1,93912800,93913200,HUVEC|chr1:93912800-93913200,chr1,94311200,94313843,HUVEC|chr1:94311200-94313843
1,391798.0,chr1,93919292,93919400,HUVEC|chr1:93919292-93919400,chr1,94311200,94313843,HUVEC|chr1:94311200-94313843
1,391239.0,chr1,93919400,93919959,HUVEC|chr1:93919400-93919959,chr1,94311200,94313843,HUVEC|chr1:94311200-94313843
1,97625.0,chr1,101601963,101603275,HUVEC|chr1:101601963-101603275,chr1,101700902,101704600,HUVEC|chr1:101700902-101704600
1,92522.0,chr1,101608000,101608378,HUVEC|chr1:101608000-101608378,chr1,101700902,101704600,HUVEC|chr1:101700902-101704600
1,451710.0,chr1,110075221,110075488,HUVEC|chr1:110075221-110075488,chr1,110527200,110528360,HUVEC|chr1:110527200-110528360
1,334768.0,chr1,110192046,110192430,HUVEC|chr1:110192046-110192430,chr1,110527200,110528360,HUVEC|chr1:110527200-110528360
1,327998.0,chr1,110199000,110199200,HUVEC|chr1:110199000-110199200,chr1,110527200,110528360,HUVEC|chr1:110527200-110528360
1,227044.0,chr1,112930542,112933600,HUVEC|chr1:112930542-112933600,chr1,113160646,113163411,HUVEC|chr1:113160646-113163411
1,217844.0,chr1,112942000,112942800,HUVEC|chr1:112942000-112942800,chr1,113160646,113163411,HUVEC|chr1:113160646-113163411
1,213244.0,chr1,112946800,112947400,HUVEC|chr1:112946800-112947400,chr1,113160646,113163411,HUVEC|chr1:113160646-113163411
1,313407.0,chr1,112930542,112933600,HUVEC|chr1:112930542-112933600,chr1,113247009,113250226,HUVEC|chr1:113247009-113250226
1,304629.0,chr1,153625357,153625619,HUVEC|chr1:153625357-153625619,chr1,153930250,153931402,HUVEC|chr1:153930250-153931402
1,313861.0,chr1,153625357,153625619,HUVEC|chr1:153625357-153625619,chr1,153939482,153940588,HUVEC|chr1:153939482-153940588
1,323769.0,chr1,153625357,153625619,HUVEC|chr1:153625357-153625619,chr1,153949390,153950642,HUVEC|chr1:153949390-153950642
1,173668.0,chr1,153756438,153756580,HUVEC|chr1:153756438-153756580,chr1,153930250,153931402,HUVEC|chr1:153930250-153931402
1,182900.0,chr1,153756438,153756580,HUVEC|chr1:153756438-153756580,chr1,153939482,153940588,HUVEC|chr1:153939482-153940588
1,192808.0,chr1,153756438,153756580,HUVEC|chr1:153756438-153756580,chr1,153949390,153950642,HUVEC|chr1:153949390-153950642
1,166780.0,chr1,153763400,153763468,HUVEC|chr1:153763400-153763468,chr1,153930250,153931402,HUVEC|chr1:153930250-153931402
1,176012.0,chr1,153763400,153763468,HUVEC|chr1:153763400-153763468,chr1,153939482,153940588,HUVEC|chr1:153939482-153940588
1,185920.0,chr1,153763400,153763468,HUVEC|chr1:153763400-153763468,chr1,153949390,153950642,HUVEC|chr1:153949390-153950642
1,618476.0,chr1,159130995,159131522,HUVEC|chr1:159130995-159131522,chr1,159750000,159751480,HUVEC|chr1:159750000-159751480
1,607798.0,chr1,159141466,159142200,HUVEC|chr1:159141466-159142200,chr1,159750000,159751480,HUVEC|chr1:159750000-159751480
1,261804.0,chr1,161457129,161457591,HUVEC|chr1:161457129-161457591,chr1,161719397,161720336,HUVEC|chr1:161719397-161720336
1,249596.0,chr1,161469412,161469799,HUVEC|chr1:161469412-161469799,chr1,161719397,161720336,HUVEC|chr1:161719397-161720336
1,249324.0,chr1,163041400,163041623,HUVEC|chr1:163041400-163041623,chr1,163290949,163292486,HUVEC|chr1:163290949-163292486
1,247810.0,chr1,163041724,163043137,HUVEC|chr1:163041724-163043137,chr1,163290949,163292486,HUVEC|chr1:163290949-163292486
1,362527.0,chr1,184760830,184762633,HUVEC|chr1:184760830-184762633,chr1,185125162,185127294,HUVEC|chr1:185125162-185127294
1,285460.0,chr1,186362650,186362897,HUVEC|chr1:186362650-186362897,chr1,186648359,186650814,HUVEC|chr1:186648359-186650814
1,273742.0,chr1,186373823,186374615,HUVEC|chr1:186373823-186374615,chr1,186648359,186650814,HUVEC|chr1:186648359-186650814
1,49753.0,chr1,205239768,205240716,HUVEC|chr1:205239768-205240716,chr1,205290471,205291109,HUVEC|chr1:205290471-205291109
1,210866.0,chr1,208202800,208204000,HUVEC|chr1:208202800-208204000,chr1,208414868,208418800,HUVEC|chr1:208414868-208418800
1,133266.0,chr1,208281226,208281600,HUVEC|chr1:208281226-208281600,chr1,208414868,208418800,HUVEC|chr1:208414868-208418800
1,348437.0,chr1,211500200,211500211,HUVEC|chr1:211500200-211500211,chr1,211848650,211849278,HUVEC|chr1:211848650-211849278
1,347448.0,chr1,211500778,211501200,HUVEC|chr1:211500778-211501200,chr1,211848650,211849278,HUVEC|chr1:211848650-211849278
1,160048.0,chr1,211688333,211688600,HUVEC|chr1:211688333-211688600,chr1,211848650,211849278,HUVEC|chr1:211848650-211849278
1,159175.0,chr1,211689400,211689473,HUVEC|chr1:211689400-211689473,chr1,211848650,211849278,HUVEC|chr1:211848650-211849278
1,335588.0,chr1,211872117,211872400,HUVEC|chr1:211872117-211872400,chr1,212207990,212209795,HUVEC|chr1:212207990-212209795
1,215893.0,chr1,212240344,212242123,HUVEC|chr1:212240344-212242123,chr1,212458018,212460000,HUVEC|chr1:212458018-212460000
1,518406.0,chr1,213935339,213935400,HUVEC|chr1:213935339-213935400,chr1,214453808,214454878,HUVEC|chr1:214453808-214454878
1,518334.0,chr1,213935400,213935472,HUVEC|chr1:213935400-213935472,chr1,214453808,214454878,HUVEC|chr1:214453808-214454878
1,106398.0,chr1,234634729,234634800,HUVEC|chr1:234634729-234634800,chr1,234741200,234745341,HUVEC|chr1:234741200-234745341
1,106377.0,chr1,234634800,234634821,HUVEC|chr1:234634800-234634821,chr1,234741200,234745341,HUVEC|chr1:234741200-234745341
1,105505.0,chr1,234634957,234635693,HUVEC|chr1:234634957-234635693,chr1,234741200,234745341,HUVEC|chr1:234741200-234745341
1,234329.0,chr1,241775621,241776679,HUVEC|chr1:241775621-241776679,chr1,242011010,242011956,HUVEC|chr1:242011010-242011956
1,538057.0,chr10,3283000,3283252,HUVEC|chr10:3283000-3283252,chr10,3821311,3829000,HUVEC|chr10:3821311-3829000
1,529772.0,chr10,3290759,3291537,HUVEC|chr10:3290759-3291537,chr10,3821311,3829000,HUVEC|chr10:3821311-3829000
1,889777.0,chr10,3829000,3829664,HUVEC|chr10:3829000-3829664,chr10,4719443,4720600,HUVEC|chr10:4719443-4720600
1,865283.0,chr10,3846371,3854158,HUVEC|chr10:3846371-3854158,chr10,4719443,4720600,HUVEC|chr10:4719443-4720600
1,217993.0,chr10,21567978,21568128,HUVEC|chr10:21567978-21568128,chr10,21786123,21786304,HUVEC|chr10:21786123-21786304
1,294057.0,chr10,49569225,49569318,HUVEC|chr10:49569225-49569318,chr10,49863377,49864584,HUVEC|chr10:49863377-49864584
1,288698.0,chr10,49571700,49574677,HUVEC|chr10:49571700-49574677,chr10,49863377,49864584,HUVEC|chr10:49863377-49864584
1,104091.0,chr10,49757816,49759284,HUVEC|chr10:49757816-49759284,chr10,49863377,49864584,HUVEC|chr10:49863377-49864584
1,103430.0,chr10,49759480,49759945,HUVEC|chr10:49759480-49759945,chr10,49863377,49864584,HUVEC|chr10:49863377-49864584
1,102126.0,chr10,95136275,95138223,HUVEC|chr10:95136275-95138223,chr10,95240351,95242533,HUVEC|chr10:95240351-95242533
1,100149.0,chr10,95138593,95140200,HUVEC|chr10:95138593-95140200,chr10,95240351,95242533,HUVEC|chr10:95240351-95242533
1,548064.0,chr11,9776865,9777944,HUVEC|chr11:9776865-9777944,chr11,10326010,10330000,HUVEC|chr11:10326010-10330000
1,544008.0,chr11,9781200,9782000,HUVEC|chr11:9781200-9782000,chr11,10326010,10330000,HUVEC|chr11:10326010-10330000
1,543862.0,chr11,9782019,9782146,HUVEC|chr11:9782019-9782146,chr11,10326010,10330000,HUVEC|chr11:10326010-10330000
1,538094.0,chr11,9786632,9787914,HUVEC|chr11:9786632-9787914,chr11,10326010,10330000,HUVEC|chr11:10326010-10330000
1,344012.0,chr11,10427862,10428042,HUVEC|chr11:10427862-10428042,chr11,10772056,10773450,HUVEC|chr11:10772056-10773450
1,342988.0,chr11,10428265,10429066,HUVEC|chr11:10428265-10429066,chr11,10772056,10773450,HUVEC|chr11:10772056-10773450
1,335366.0,chr11,10436121,10436688,HUVEC|chr11:10436121-10436688,chr11,10772056,10773450,HUVEC|chr11:10772056-10773450
1,287734.0,chr11,16808520,16810555,HUVEC|chr11:16808520-16810555,chr11,17098291,17100250,HUVEC|chr11:17098291-17100250
1,283632.0,chr11,16812455,16814657,HUVEC|chr11:16812455-16814657,chr11,17098291,17100250,HUVEC|chr11:17098291-17100250
1,120955.0,chr11,17251800,17252179,HUVEC|chr11:17251800-17252179,chr11,17373136,17373597,HUVEC|chr11:17373136-17373597
1,169617.0,chr11,19093062,19093200,HUVEC|chr11:19093062-19093200,chr11,19262819,19263244,HUVEC|chr11:19262819-19263244
1,159856.0,chr11,19098850,19102961,HUVEC|chr11:19098850-19102961,chr11,19262819,19263244,HUVEC|chr11:19262819-19263244
1,128760.0,chr11,60543065,60543795,HUVEC|chr11:60543065-60543795,chr11,60672557,60674477,HUVEC|chr11:60672557-60674477
1,128406.0,chr11,60543978,60544149,HUVEC|chr11:60543978-60544149,chr11,60672557,60674477,HUVEC|chr11:60672557-60674477
1,126900.0,chr11,60544333,60545655,HUVEC|chr11:60544333-60545655,chr11,60672557,60674477,HUVEC|chr11:60672557-60674477
1,615718.0,chr11,68873355,68873517,HUVEC|chr11:68873355-68873517,chr11,69489237,69490355,HUVEC|chr11:69489237-69490355
1,615141.0,chr11,68873637,68874094,HUVEC|chr11:68873637-68874094,chr11,69489237,69490355,HUVEC|chr11:69489237-69490355
1,533602.0,chr11,69515363,69515455,HUVEC|chr11:69515363-69515455,chr11,70049059,70051359,HUVEC|chr11:70049059-70051359
1,533257.0,chr11,69515591,69515800,HUVEC|chr11:69515591-69515800,chr11,70049059,70051359,HUVEC|chr11:70049059-70051359
1,193580.0,chr11,71950400,71951400,HUVEC|chr11:71950400-71951400,chr11,72144982,72145867,HUVEC|chr11:72144982-72145867
1,118002.0,chr11,76261428,76262600,HUVEC|chr11:76261428-76262600,chr11,76380604,76381877,HUVEC|chr11:76380604-76381877
1,108518.0,chr11,76271122,76272084,HUVEC|chr11:76271122-76272084,chr11,76380604,76381877,HUVEC|chr11:76380604-76381877
1,295598.0,chr11,95779270,95779370,HUVEC|chr11:95779270-95779370,chr11,96074970,96076441,HUVEC|chr11:96074970-96076441
1,278986.0,chr11,95795079,95795982,HUVEC|chr11:95795079-95795982,chr11,96074970,96076441,HUVEC|chr11:96074970-96076441
1,219398.0,chr11,118971000,118971400,HUVEC|chr11:118971000-118971400,chr11,119190800,119192600,HUVEC|chr11:119190800-119192600
1,83578.0,chr11,124544600,124544620,HUVEC|chr11:124544600-124544620,chr11,124628200,124633400,HUVEC|chr11:124628200-124633400
1,81449.0,chr11,124546278,124546749,HUVEC|chr11:124546278-124546749,chr11,124628200,124633400,HUVEC|chr11:124628200-124633400
1,613443.0,chr12,12234876,12235416,HUVEC|chr12:12234876-12235416,chr12,12848861,12850026,HUVEC|chr12:12848861-12850026
1,600472.0,chr12,12248200,12248387,HUVEC|chr12:12248200-12248387,chr12,12848861,12850026,HUVEC|chr12:12848861-12850026
1,371998.0,chr12,12975409,12977000,HUVEC|chr12:12975409-12977000,chr12,13349000,13351400,HUVEC|chr12:13349000-13351400
1,360511.0,chr12,12988313,12988487,HUVEC|chr12:12988313-12988487,chr12,13349000,13351400,HUVEC|chr12:13349000-13351400
1,355208.0,chr12,12989237,12993790,HUVEC|chr12:12989237-12993790,chr12,13349000,13351400,HUVEC|chr12:13349000-13351400
1,97398.0,chr12,13249992,13251600,HUVEC|chr12:13249992-13251600,chr12,13349000,13351400,HUVEC|chr12:13349000-13351400
1,95598.0,chr12,13252400,13253400,HUVEC|chr12:13252400-13253400,chr12,13349000,13351400,HUVEC|chr12:13349000-13351400
1,93323.0,chr12,13254800,13255675,HUVEC|chr12:13254800-13255675,chr12,13349000,13351400,HUVEC|chr12:13349000-13351400
1,115722.0,chr12,14402363,14402600,HUVEC|chr12:14402363-14402600,chr12,14518324,14520740,HUVEC|chr12:14518324-14520740
1,113536.0,chr12,14403919,14404786,HUVEC|chr12:14403919-14404786,chr12,14518324,14520740,HUVEC|chr12:14518324-14520740
1,106886.0,chr12,14408951,14411436,HUVEC|chr12:14408951-14411436,chr12,14518324,14520740,HUVEC|chr12:14518324-14520740
1,104240.0,chr12,14412676,14414082,HUVEC|chr12:14412676-14414082,chr12,14518324,14520740,HUVEC|chr12:14518324-14520740
1,586878.0,chr12,14525819,14526761,HUVEC|chr12:14525819-14526761,chr12,15113641,15115000,HUVEC|chr12:15113641-15115000
1,575039.0,chr12,14537239,14538600,HUVEC|chr12:14537239-14538600,chr12,15113641,15115000,HUVEC|chr12:15113641-15115000
1,569439.0,chr12,14543800,14544200,HUVEC|chr12:14543800-14544200,chr12,15113641,15115000,HUVEC|chr12:15113641-15115000
1,566355.0,chr12,14546846,14547284,HUVEC|chr12:14546846-14547284,chr12,15113641,15115000,HUVEC|chr12:15113641-15115000
1,42741.0,chr12,50176882,50179201,HUVEC|chr12:50176882-50179201,chr12,50221944,50222839,HUVEC|chr12:50221944-50222839
1,42398.0,chr12,50179452,50179544,HUVEC|chr12:50179452-50179544,chr12,50221944,50222839,HUVEC|chr12:50221944-50222839
1,52581.0,chr12,53608200,53609200,HUVEC|chr12:53608200-53609200,chr12,53661783,53662502,HUVEC|chr12:53661783-53662502
1,52555.0,chr12,53609200,53609226,HUVEC|chr12:53609200-53609226,chr12,53661783,53662502,HUVEC|chr12:53661783-53662502
1,379567.0,chr12,58930867,58931155,HUVEC|chr12:58930867-58931155,chr12,59310724,59314933,HUVEC|chr12:59310724-59314933
1,504314.0,chr12,89412972,89413800,HUVEC|chr12:89412972-89413800,chr12,89918116,89920172,HUVEC|chr12:89918116-89920172
1,504279.0,chr12,89413800,89413835,HUVEC|chr12:89413800-89413835,chr12,89918116,89920172,HUVEC|chr12:89918116-89920172
1,742984.0,chr12,91793884,91794643,HUVEC|chr12:91793884-91794643,chr12,92537629,92540504,HUVEC|chr12:92537629-92540504
1,93818.0,chr12,96788800,96789000,HUVEC|chr12:96788800-96789000,chr12,96882820,96883984,HUVEC|chr12:96882820-96883984
1,86604.0,chr12,96795400,96796214,HUVEC|chr12:96795400-96796214,chr12,96882820,96883984,HUVEC|chr12:96882820-96883984
1,726598.0,chr12,105803468,105804573,HUVEC|chr12:105803468-105804573,chr12,106531173,106534216,HUVEC|chr12:106531173-106534216
1,716171.0,chr12,105814918,105815000,HUVEC|chr12:105814918-105815000,chr12,106531173,106534216,HUVEC|chr12:106531173-106534216
1,716094.0,chr12,105815000,105815077,HUVEC|chr12:105815000-105815077,chr12,106531173,106534216,HUVEC|chr12:106531173-106534216
1,708890.0,chr12,105821342,105822281,HUVEC|chr12:105821342-105822281,chr12,106531173,106534216,HUVEC|chr12:106531173-106534216
1,574975.0,chr12,108959800,108960390,HUVEC|chr12:108959800-108960390,chr12,109535367,109536764,HUVEC|chr12:109535367-109536764
1,293180.0,chr12,110547259,110547351,HUVEC|chr12:110547259-110547351,chr12,110840533,110842051,HUVEC|chr12:110840533-110842051
1,190089.0,chr12,118619968,118620126,HUVEC|chr12:118619968-118620126,chr12,118810217,118811275,HUVEC|chr12:118810217-118811275
1,193850.0,chr12,118619968,118620126,HUVEC|chr12:118619968-118620126,chr12,118813978,118815032,HUVEC|chr12:118813978-118815032
1,188174.0,chr12,118621444,118622041,HUVEC|chr12:118621444-118622041,chr12,118810217,118811275,HUVEC|chr12:118810217-118811275
1,191935.0,chr12,118621444,118622041,HUVEC|chr12:118621444-118622041,chr12,118813978,118815032,HUVEC|chr12:118813978-118815032
1,183298.0,chr12,118626523,118626917,HUVEC|chr12:118626523-118626917,chr12,118810217,118811275,HUVEC|chr12:118810217-118811275
1,187059.0,chr12,118626523,118626917,HUVEC|chr12:118626523-118626917,chr12,118813978,118815032,HUVEC|chr12:118813978-118815032
1,182815.0,chr12,118627389,118627400,HUVEC|chr12:118627389-118627400,chr12,118810217,118811275,HUVEC|chr12:118810217-118811275
1,186576.0,chr12,118627389,118627400,HUVEC|chr12:118627389-118627400,chr12,118813978,118815032,HUVEC|chr12:118813978-118815032
1,36522.0,chr12,120663038,120664400,HUVEC|chr12:120663038-120664400,chr12,120700924,120703591,HUVEC|chr12:120700924-120703591
1,333055.0,chr12,123752400,123753000,HUVEC|chr12:123752400-123753000,chr12,124086057,124087329,HUVEC|chr12:124086057-124087329
1,322701.0,chr12,123762382,123763354,HUVEC|chr12:123762382-123763354,chr12,124086057,124087329,HUVEC|chr12:124086057-124087329
1,160785.0,chr13,21871661,21871800,HUVEC|chr13:21871661-21871800,chr13,22032587,22033767,HUVEC|chr13:22032587-22033767
1,664475.0,chr13,36906620,36908142,HUVEC|chr13:36906620-36908142,chr13,37572619,37575721,HUVEC|chr13:37572619-37575721
1,824061.0,chr13,50659378,50659720,HUVEC|chr13:50659378-50659720,chr13,51483783,51484890,HUVEC|chr13:51483783-51484890
1,404575.0,chr13,80506287,80507825,HUVEC|chr13:80506287-80507825,chr13,80912402,80916282,HUVEC|chr13:80912402-80916282
1,399683.0,chr13,80509247,80512717,HUVEC|chr13:80509247-80512717,chr13,80912402,80916282,HUVEC|chr13:80912402-80916282
1,299613.0,chr13,80611214,80612787,HUVEC|chr13:80611214-80612787,chr13,80912402,80916282,HUVEC|chr13:80912402-80916282
1,297012.0,chr13,80614301,80615388,HUVEC|chr13:80614301-80615388,chr13,80912402,80916282,HUVEC|chr13:80912402-80916282
1,288701.0,chr13,80622694,80623699,HUVEC|chr13:80622694-80623699,chr13,80912402,80916282,HUVEC|chr13:80912402-80916282
1,287800.0,chr13,80624169,80624600,HUVEC|chr13:80624169-80624600,chr13,80912402,80916282,HUVEC|chr13:80912402-80916282
1,287720.0,chr13,80624600,80624680,HUVEC|chr13:80624600-80624680,chr13,80912402,80916282,HUVEC|chr13:80912402-80916282
1,828791.0,chr13,109609906,109610025,HUVEC|chr13:109609906-109610025,chr13,110438818,110439087,HUVEC|chr13:110438818-110439087
1,828407.0,chr13,109610298,109610409,HUVEC|chr13:109610298-109610409,chr13,110438818,110439087,HUVEC|chr13:110438818-110439087
1,68083.0,chr14,21081200,21081354,HUVEC|chr14:21081200-21081354,chr14,21149439,21153135,HUVEC|chr14:21149439-21153135
1,278559.0,chr14,23024645,23026710,HUVEC|chr14:23024645-23026710,chr14,23305271,23308167,HUVEC|chr14:23305271-23308167
1,276596.0,chr14,23026826,23028673,HUVEC|chr14:23026826-23028673,chr14,23305271,23308167,HUVEC|chr14:23305271-23308167
1,274469.0,chr14,23030546,23030800,HUVEC|chr14:23030546-23030800,chr14,23305271,23308167,HUVEC|chr14:23305271-23308167
1,274269.0,chr14,23030834,23031000,HUVEC|chr14:23030834-23031000,chr14,23305271,23308167,HUVEC|chr14:23305271-23308167
1,269115.0,chr14,23035718,23036154,HUVEC|chr14:23035718-23036154,chr14,23305271,23308167,HUVEC|chr14:23305271-23308167
1,262991.0,chr14,23040742,23042278,HUVEC|chr14:23040742-23042278,chr14,23305271,23308167,HUVEC|chr14:23305271-23308167
1,73526.0,chr14,23452800,23452875,HUVEC|chr14:23452800-23452875,chr14,23526403,23527400,HUVEC|chr14:23526403-23527400
1,184813.0,chr14,23583823,23585016,HUVEC|chr14:23583823-23585016,chr14,23769831,23772113,HUVEC|chr14:23769831-23772113
1,178440.0,chr14,23590225,23591389,HUVEC|chr14:23590225-23591389,chr14,23769831,23772113,HUVEC|chr14:23769831-23772113
1,170490.0,chr14,23599181,23599339,HUVEC|chr14:23599181-23599339,chr14,23769831,23772113,HUVEC|chr14:23769831-23772113
1,93661.0,chr14,24804800,24805000,HUVEC|chr14:24804800-24805000,chr14,24898663,24900346,HUVEC|chr14:24898663-24900346
1,93632.0,chr14,24805000,24805029,HUVEC|chr14:24805000-24805029,chr14,24898663,24900346,HUVEC|chr14:24898663-24900346
1,90461.0,chr14,24808126,24808200,HUVEC|chr14:24808126-24808200,chr14,24898663,24900346,HUVEC|chr14:24898663-24900346
1,89261.0,chr14,24808400,24809400,HUVEC|chr14:24808400-24809400,chr14,24898663,24900346,HUVEC|chr14:24898663-24900346
1,209257.0,chr14,50787540,50788766,HUVEC|chr14:50787540-50788766,chr14,50998025,50999518,HUVEC|chr14:50998025-50999518
1,289036.0,chr14,61928200,61928517,HUVEC|chr14:61928200-61928517,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,287401.0,chr14,61928795,61930152,HUVEC|chr14:61928795-61930152,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,284353.0,chr14,61932659,61933200,HUVEC|chr14:61932659-61933200,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,279153.0,chr14,61936587,61938400,HUVEC|chr14:61936587-61938400,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,277165.0,chr14,61939200,61940388,HUVEC|chr14:61939200-61940388,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,276527.0,chr14,61940879,61941026,HUVEC|chr14:61940879-61941026,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,275525.0,chr14,61941545,61942028,HUVEC|chr14:61941545-61942028,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,272004.0,chr14,61942120,61945549,HUVEC|chr14:61942120-61945549,chr14,62217555,62218140,HUVEC|chr14:62217555-62218140
1,93788.0,chr14,68067400,68067600,HUVEC|chr14:68067400-68067600,chr14,68161390,68162688,HUVEC|chr14:68161390-68162688
1,93681.0,chr14,68067600,68067707,HUVEC|chr14:68067600-68067707,chr14,68161390,68162688,HUVEC|chr14:68161390-68162688
